date,window_length_requested,actual_length,beta,pinned
1993-07-06,1000,886,1.0,True
1993-07-06,1500,886,1.0,True
1993-08-02,200,200,0.44648703482746444,False
1993-08-02,300,300,0.6346659333329827,False
1993-08-02,500,500,1.6089411696087138e-13,False
1993-08-02,750,750,0.23454365353998463,False
1993-08-02,1000,905,1.0,True
1993-08-02,1500,905,1.0,True
1993-08-20,200,200,0.35696273407542534,False
1993-08-20,300,300,0.5753594301066356,False
1993-08-20,500,500,0.9820569953895828,False
1993-08-20,750,750,0.9999999993588428,True
1993-08-20,1000,919,1.0,True
1993-08-20,1500,919,1.0,True
1993-09-02,200,200,0.3516274013776164,False
1993-09-02,300,300,0.5478383324136163,False
1993-09-02,500,500,0.9797904321561834,False
1993-09-02,750,750,0.9993808128857342,False
1993-09-02,1000,928,0.999906327170466,True
1993-09-02,1500,928,0.999906327170466,True
1993-09-16,200,200,0.3586291715607755,False
1993-09-16,300,300,0.9319359274871227,False
1993-09-16,500,500,0.0,False
1993-09-16,750,750,0.9527310809811786,False
1993-09-16,1000,937,0.99993005415296,True
1993-09-16,1500,937,0.99993005415296,True
1993-09-28,200,200,0.3247873341371859,False
1993-09-28,300,300,0.5897383414557087,False
1993-09-28,500,500,0.9963378654544007,False
1993-09-28,750,750,0.9979786450013444,False
1993-09-28,1000,945,0.9999987888503852,True
1993-09-28,1500,945,0.9999987888503852,True
1993-09-30,200,200,0.3103883688033603,False
1993-09-30,300,300,0.5717122711064775,False
1993-09-30,500,500,0.995390816179358,False
1993-09-30,750,750,0.9577375829638681,False
1993-09-30,1000,947,1.0,True
1993-09-30,1500,947,1.0,True
1993-10-15,200,200,2.873024534340575e-17,False
1993-10-15,300,300,0.4929057193618191,False
1993-10-15,500,500,0.9912392053659816,False
1993-10-15,750,750,0.911666507415186,False
1993-10-15,1000,958,0.9999999881689069,True
1993-10-15,1500,958,0.9999999881689069,True
1993-10-25,200,200,0.0,False
1993-10-25,300,300,0.5259902917382793,False
1993-10-25,500,500,0.464935492588736,False
1993-10-25,750,750,0.9972380161575228,False
1993-10-25,1000,964,0.999999999999983,True
1993-10-25,1500,964,0.999999999999983,True
1993-10-27,200,200,5.172502232355018e-17,False
1993-10-27,300,300,0.506289615165461,False
1993-10-27,500,500,0.984435910334428,False
1993-10-27,750,750,2.656177204860912e-07,False
1993-10-27,1000,966,1.0,True
1993-10-27,1500,966,1.0,True
1993-11-01,200,200,0.0,False
1993-11-01,300,300,0.5149607250812291,False
1993-11-01,500,500,1.0,True
1993-11-01,750,750,0.9998405102811986,False
1993-11-01,1000,969,0.9999545683190758,True
1993-11-01,1500,969,0.9999545683190758,True
1993-11-03,200,200,2.2687122788238573e-16,False
1993-11-03,300,300,0.4971898862159233,False
1993-11-03,500,500,0.8426508881739831,False
1993-11-03,750,750,0.999440848351686,False
1993-11-03,1000,971,1.0,True
1993-11-03,1500,971,1.0,True
1993-11-15,200,200,6.5687558900712616e-15,False
1993-11-15,300,300,0.49339735751226965,False
1993-11-15,500,500,3.6689222022573407e-13,False
1993-11-15,750,750,0.9987435286170937,False
1993-11-15,1000,979,1.0,True
1993-11-15,1500,979,1.0,True
1993-11-26,200,200,0.6667899081198218,False
1993-11-26,300,300,0.48531708261201895,False
1993-11-26,500,500,0.9926109186206011,False
1993-11-26,750,750,0.9991064956467685,False
1993-11-26,1000,987,0.9999999999999464,True
1993-11-26,1500,987,0.9999999999999464,True
1993-11-29,200,200,0.9582816523442936,False
1993-11-29,300,300,0.4983589375849572,False
1993-11-29,500,500,0.03252873928198214,False
1993-11-29,750,750,0.0,False
