strategy,direction,entry_date,exit_date,days_held,trade_return,exit_reason
vol_breakout,-1,2016-06-28,2016-06-29,1,-0.0176141216040877,regime_flip
mean_reversion,-1,2016-07-06,2016-07-20,10,-0.035386637095140006,max_hold
mean_reversion,1,2016-09-12,2016-09-26,10,0.01718382775124729,max_hold
mean_reversion,-1,2016-11-10,2016-11-25,10,-0.0189841557378524,max_hold
mean_reversion,-1,2016-12-08,2016-12-19,7,-0.007432089935193201,reverted
mean_reversion,-1,2017-02-14,2017-03-01,10,-0.015085845816188498,reverted
mean_reversion,-1,2017-03-02,2017-03-08,4,0.0115736152692252,reverted
mean_reversion,-1,2017-04-26,2017-05-03,5,-0.0010711014658274002,reverted
mean_reversion,1,2017-05-18,2017-05-23,3,0.0155716051314253,reverted
mean_reversion,-1,2017-05-26,2017-06-09,9,-0.0077214286640899,reverted
vol_breakout,-1,2017-08-11,2017-08-14,1,-0.0012747571279874,regime_flip
vol_breakout,-1,2017-08-18,2017-08-21,1,0.0018370536613518,regime_flip
mean_reversion,-1,2017-10-04,2017-10-13,7,-0.006429998098943899,reverted
mean_reversion,-1,2017-11-29,2017-12-06,5,-0.0009626087689735999,reverted
mean_reversion,-1,2017-12-13,2017-12-28,10,-0.0069238891568641995,reverted
mean_reversion,-1,2018-01-05,2018-01-22,10,-0.031193542964051996,max_hold
mean_reversion,-1,2018-01-22,2018-02-05,10,0.017289177792107105,max_hold
mean_reversion,1,2018-02-05,2018-02-06,1,-0.0418425409383811,regime_flip
vol_breakout,-1,2018-02-06,2018-02-07,1,-0.0172905733489372,regime_flip
mean_reversion,1,2018-02-08,2018-02-09,1,-0.0382590522458015,regime_flip
vol_breakout,-1,2018-02-09,2018-02-13,2,-0.028644310877710098,regime_flip
mean_reversion,-1,2018-02-16,2018-02-23,4,0.010023704454648799,reverted
vol_breakout,-1,2018-03-23,2018-03-27,2,-0.005605233394284398,regime_flip
vol_breakout,-1,2018-03-28,2018-04-02,2,-0.0107548585943809,regime_flip
vol_breakout,-1,2018-04-03,2018-04-04,1,-0.0125359613157414,regime_flip
mean_reversion,-1,2018-05-11,2018-05-18,5,0.0010803152039989012,reverted
mean_reversion,-1,2018-07-10,2018-07-20,8,-0.007271925013918999,reverted
mean_reversion,-1,2018-08-30,2018-09-05,3,0.0059613956260324,reverted
vol_breakout,-1,2018-10-11,2018-10-17,4,-0.008664001179435703,regime_flip
vol_breakout,-1,2018-10-19,2018-10-22,1,0.0003612351352799,regime_flip
vol_breakout,-1,2018-10-25,2018-11-01,5,-0.0207315733999653,regime_flip
vol_breakout,-1,2018-11-13,2018-11-16,3,-0.0014588251020183005,regime_flip
vol_breakout,-1,2018-11-20,2018-11-27,4,0.006442770112307903,regime_flip
mean_reversion,-1,2018-12-03,2018-12-10,4,0.04713795041466,regime_flip
vol_breakout,-1,2018-12-10,2018-12-13,3,-0.0068090645579621,regime_flip
vol_breakout,-1,2018-12-17,2018-12-24,5,0.07312227713336916,max_hold
vol_breakout,-1,2018-12-24,2018-12-27,2,-0.020916604792491397,trailing_stop
vol_breakout,1,2018-12-27,2019-01-04,5,-0.008060137835497302,max_hold
vol_breakout,-1,2019-01-04,2019-01-07,1,-0.0337593990603473,regime_flip
mean_reversion,-1,2019-01-11,2019-01-28,10,-0.025895740726182698,max_hold
mean_reversion,-1,2019-02-05,2019-02-08,3,0.0069307384823886,reverted
mean_reversion,-1,2019-02-19,2019-02-28,7,-0.006027261596814801,reverted
mean_reversion,-1,2019-03-18,2019-04-01,10,-0.004214315935238902,max_hold
mean_reversion,-1,2019-04-04,2019-04-12,6,-0.005179078275789284,reverted
mean_reversion,1,2019-05-08,2019-05-14,4,-0.0253457891199272,regime_flip
vol_breakout,-1,2019-05-14,2019-05-16,2,-0.0138059818509387,regime_flip
vol_breakout,-1,2019-05-24,2019-05-28,1,-0.0013526437720372,regime_flip
vol_breakout,-1,2019-06-03,2019-06-05,2,-0.0184368564267699,regime_flip
mean_reversion,-1,2019-06-10,2019-06-18,6,-0.005667134938627199,reverted
